date;sound;co2
2020-10-27 23:04:01;38,6815;466,4755
2020-10-27 23:08:02;38,513;463,348
2020-10-27 23:12:04;38,572;464,122
2020-10-27 23:16:05;38,432;465,112
2020-10-27 23:20:08;38,5365;465,8085
2020-10-27 23:24:09;38,592;462,95
2020-10-27 23:28:11;38,5915;463,2555
2020-10-27 23:32:12;38,616;462,524
2020-10-27 23:36:14;38,561;460,5025
2020-10-27 23:40:16;38,55;461,64
2020-10-27 23:44:17;38,575;456,5185
2020-10-27 23:48:18;38,603;459,728
2020-10-27 23:52:20;38,665;457,1315
2020-10-27 23:56:21;38,7045;458,807
2020-10-28 00:00:23;38,7155;459,776
2020-10-28 00:04:25;38,5145;458,1235
2020-10-28 00:08:26;38,621;459,4415
2020-10-28 00:12:25;38,594;460,262
2020-10-28 00:16:28;38,523;459,562
2020-10-28 00:20:29;38,6705;458,1625
2020-10-28 00:24:31;38,6355;459,9685
2020-10-28 00:28:32;38,561;457,8195
2020-10-28 00:32:33;38,5485;458,178
2020-10-28 00:36:34;38,578;454,711
2020-10-28 00:40:36;38,6235;457,0515
2020-10-28 00:44:36;38,68;454,5875
2020-10-28 00:48:37;39,0365;457,872
2020-10-28 00:52:39;38,7105;455,5015
2020-10-28 00:56:40;38,6075;457,2375
2020-10-28 01:00:42;38,504;456,511
2020-10-28 01:04:43;38,4515;456,321
2020-10-28 01:08:44;38,5195;457,75
2020-10-28 01:12:45;38,62;456,894
2020-10-28 01:16:47;38,631;456,2655
2020-10-28 01:20:49;38,6335;454,653
2020-10-28 01:24:50;38,596;453,5555
2020-10-28 01:28:52;38,7635;455,0925
2020-10-28 01:32:54;38,7155;455,8155
2020-10-28 01:36:53;38,7035;451,998
2020-10-28 01:40:57;39,0095;451,407
2020-10-28 01:44:58;38,749;452,8865
2020-10-28 01:49:00;38,7935;456,2365
2020-10-28 01:53:00;38,7415;452,5625
2020-10-28 01:57:02;38,748;451,976
2020-10-28 02:01:03;38,6815;449,799
2020-10-28 02:05:03;38,563;451,276
2020-10-28 02:09:06;38,6175;451,5865
2020-10-28 02:13:08;38,662;448,8515
2020-10-28 02:17:10;39,091;451,0575
